[e, alpha]
#		Ro		n		s
1		0.515076		56		4
2		0.0502142		3283		11
3		5.28941e-016		700		10
4		0.134332		980		10
5		0.163842		94		10
6		0.281704		315		11
7		0.0448395		314		7
8		0		21		1
9		0.489277		20		2
[e, beta]
#		Ro		n		s
1		0.453998		56		4
2		0.014699		3283		11
3		0.5		700		10
4		0.019559		980		10
5		0.174132		94		10
6		0.129028		315		11
7		0.0737573		314		7
8		0		21		1
9		0.49212		20		2
[e, tau0]
#		Ro		n		s
1		0.156608		56		4
2		0.0122738		3283		11
3		0		700		10
4		0.0515809		980		10
5		0.702767		94		10
6		0.585678		315		11
7		0.277712		314		7
8		0		21		1
9		0.100707		20		2
[alpha, e]
#		Ro		n		s
1		0.730663		56		3
2		0.056984		3283		10
3		1.93265e-016		700		7
4		0.165002		980		6
5		0.890311		94		7
6		0.415799		315		8
7		0.132731		314		10
8		0.597614		21		3
9		0.572478		20		5
[alpha, beta]
#		Ro		n		s
1		1		56		3
2		0.885245		3283		10
3		0		700		7
4		0.781125		980		6
5		1		94		7
6		0.970751		315		8
7		0.966483		314		10
8		1		21		3
9		1		20		5
[alpha, tau0]
#		Ro		n		s
1		0.30508		56		3
2		0.0730775		3283		10
3		2.3025e-016		700		7
4		0.23897		980		6
5		0.561759		94		7
6		0.351674		315		8
7		0.363553		314		10
8		0.569982		21		3
9		0.289385		20		5
[beta, e]
#		Ro		n		s
1		0.181985		56		2
2		0.0323357		3283		10
3		0		700		1
4		0.131742		980		8
5		0.722453		94		6
6		0.377744		315		8
7		0.130947		314		10
8		0.345033		21		2
9		0.572478		20		5
[beta, alpha]
#		Ro		n		s
1		0.969189		56		2
2		0.842872		3283		10
3		0		700		1
4		0.668618		980		8
5		0.99101		94		6
6		0.951969		315		8
7		0.948247		314		10
8		0.973124		21		2
9		1		20		5
[beta, tau0]
#		Ro		n		s
1		0.207261		56		2
2		0.0364427		3283		10
3		0		700		1
4		0.179087		980		8
5		0.49144		94		6
6		0.325924		315		8
7		0.302276		314		10
8		0.0379774		21		2
9		0.289385		20		5
[tau0, e]
#		Ro		n		s
1		0.215102		56		10
2		0.0128265		3283		10
3		1.93265e-016		700		10
4		0.0593409		980		10
5		0.460231		94		10
6		0.5282		315		10
7		0.283888		314		8
8		1		21		10
9		0.180775		20		4
[tau0, alpha]
#		Ro		n		s
1		0.302571		56		10
2		0.0656136		3283		10
3		5.28941e-016		700		10
4		0.203693		980		10
5		0.122192		94		10
6		0.224489		315		10
7		0.0946022		314		8
8		0.154035		21		10
9		0.0463371		20		4
[tau0, beta]
#		Ro		n		s
1		0.244949		56		10
2		0.0166023		3283		10
3		0.5		700		10
4		0.0227745		980		10
5		0.106198		94		10
6		0.0770595		315		10
7		0.128236		314		8
8		0.116775		21		10
9		0.0528447		20		4
